case_id,category_level_1,category_level_2,notes,insights
24-00832.h1,Personal Conduct,Prior employment misconduct,Applicant terminated for inappropriate conduct related to expense claims.,
24-00833.h1,Drugs,Use after submitting SF-86,Applicant admitted ongoing marijuana use after SCA submission.,
24-00839.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling about $14,000.",
24-00844.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant has a history of schizophrenia and noncompliance with treatment.,
24-00845.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and periods of unemployment.,
24-00847.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant has PTSD and other disorders affecting reliability.,
24-00850.h1,Foreign Influence,Financial ties to foreign persons or entities,Applicant's relationship with foreign family raises security concerns.,
24-00853.h1,Financial,Chronic delinquent debt,"Applicant has significant unpaid debts totaling over $34,822.",
24-00854.h1,Financial,Unpaid taxes,Applicant has delinquent federal and state taxes.,
24-00856.h1,Drugs,Failure to disclose use,Applicant admitted to marijuana use and failure to disclose on SCA.,
24-00885.h1,Financial,Unpaid taxes,Applicant has multiple unpaid tax returns and significant tax debts.,
24-00887.h1,Drugs,Failure to disclose use,Applicant falsified drug use on security clearance application.,
24-00891.h1,Financial,Failure to file required financial disclosures,Applicant failed to file federal and state tax returns from 2018 to 2021.,
24-00892.h1,Foreign Influence,Financial ties to foreign persons or entities,"Applicant has family ties and property in Iraq, raising foreign influence concerns.",
24-00896.h1,Financial,Chronic delinquent debt,"Applicant has unresolved debts totaling approximately $33,933.",
24-00901.h1,Financial,Unpaid taxes,"Applicant owes $25,000 in past-due federal taxes.",
24-00902.h1,Financial,Chronic delinquent debt,Applicant has significant unresolved delinquent debts.,
24-00904.h1,Drugs,Use of federally illegal substances despite state legality,Applicant used marijuana legally in state but federally illegal.,
24-00905.h1,Drugs,Recent use within adjudicative window,Applicant admitted recent illegal drug use and failed to complete treatment.,
24-00906.h1,Financial,Unpaid taxes,Applicant has significant unpaid federal and state taxes.,
24-00907.h1,Drugs,Pattern of recurring use,Applicant has a history of illegal drug use and arrests.,
24-00908.h1,Drugs,Use during clearance process,Applicant admitted to marijuana use until April 2023.,
24-00913.h1,Drugs,Failure to disclose use,Applicant omitted past drug use in e-QIPs.,
24-00913.h2,Drugs,Failure to disclose use,"Applicant omitted past drug use in e-QIPs, raising security concerns.",
24-00914.h1,Drugs,Pattern of recurring use,Applicant admitted to multiple drug uses over several years.,
24-00914.h2,Drugs,Pattern of recurring use,Applicant has a history of multiple drug use over several years.,
24-00923.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent accounts totaling approximately $68,000.",
24-00924.h1,Financial,Chronic delinquent debt,"Applicant has $32,000 in delinquent debt and no progress on repayment.",
24-00928.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has multiple DWI convictions and ongoing alcohol-related issues.,
24-00934.h1,Financial,Failure to file required financial disclosures,Applicant failed to file multiple years of tax returns.,
24-00941.h1,Financial,Failure to file required financial disclosures,Applicant failed to file state and federal tax returns for multiple years.,
24-00944.h1,Drugs,Use after submitting SF-86,Applicant used psilocybin mushrooms after submitting the Questionnaire.,
24-00946.h1,Financial,Chronic delinquent debt,"Applicant has significant unpaid debts exceeding $25,000.",
24-00948.h1,Drugs,Failure to disclose use,Applicant failed to disclose drug use during security clearance process.,
24-00954.h1,Drugs,Recent use within adjudicative window,Applicant admitted to THC use until January 2024.,
24-00967.h1,Foreign Influence,Immediate family members who are foreign nationals,Applicant has ties to foreign nationals through family.,
24-00968.h1,Drugs,Failure to disclose use,Applicant admitted to drug use but failed to disclose it in prior applications.,
24-00972.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has multiple DWI arrests indicating a pattern of alcohol-related issues.,
24-00973.h1,Drugs,Recent use within adjudicative window,"Applicant used marijuana and psychedelics recently, impacting clearance.",
24-00976.h1,Financial,Unpaid taxes,Applicant has delinquent federal taxes and failed to file state returns.,
24-00979.h1,Financial,Chronic delinquent debt,Applicant has significant past-due student loans and other debts.,
24-00994.h1,Drugs,Failure to disclose use,Applicant denied marijuana use on security forms despite prior admissions.,
24-00998.h1,Financial,Failure to file required financial disclosures,Applicant failed to timely file federal tax returns.,
24-01001.h1,Drugs,Pattern of recurring use,"Applicant used marijuana frequently over 20 years, raising security concerns.",
24-01004.h1,Drugs,Use after submitting SF-86,Applicant used marijuana and Adderall after submitting SF-86.,
24-01005.h1,Drugs,Use during clearance process,Applicant admitted to marijuana use during employment at a dispensary.,
24-01008.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $56,000.",
24-01011.h1,Criminal Conduct,Felony conviction,Applicant has multiple felony convictions and arrests.,
24-01012.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and unpaid taxes.,
24-01019.h1,Drugs,Use after submitting SF-86,Applicant admitted illegal drug use and intends to continue.,
24-01022.h1,Drugs,Failure to disclose use,Applicant failed to disclose marijuana use in security clearance application.,
24-01023.h1,Drugs,Failure to disclose use,Applicant admitted to past marijuana use and falsified SCA.,
24-01029.h1,Financial,Failure to file required financial disclosures,Applicant failed to file tax returns for multiple years.,
24-01030.h1,Drugs,Use of federally illegal substances despite state legality,"Applicant used medical marijuana, illegal federally, despite state legality.",
24-01034.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved delinquent debts totaling over $21,000.",
24-01035.h1,Financial,Chronic delinquent debt,Applicant has significant delinquent debt and failed to mitigate financial concerns.,
24-01060.h1,Financial,Unpaid taxes,Applicant failed to file multiple tax returns and has delinquent debts.,
24-01062.h1,Financial,Chronic delinquent debt,Applicant had significant tax debts and issues with IRS payments.,
24-01064.h1,Drugs,Pattern of recurring use,Applicant has a history of marijuana use from 1998 to 2023.,
24-01070.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $27,000.",
24-01071.h1,Financial,Unpaid taxes,Applicant had unpaid taxes but is resolving them with IRS payments.,
24-01075.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has a DWI conviction and history of alcohol-related issues.,
24-01079.h1,Personal Conduct,Security violations in past roles,Applicant had multiple security violations related to handling classified info.,
24-01087.h1,Personal Conduct,Pattern of dishonesty,Applicant admitted to sexual misconduct and failed to disclose details.,
24-01091.h1,Foreign Influence,Close and continuing foreign contacts,Applicant has significant ties to Syria and foreign family members.,
24-01100.h1,Foreign Influence,Immediate family members who are foreign nationals,"Applicant has Jordanian parents and sister, raising foreign influence concerns.",
24-01101.h1,Drugs,Failure to disclose use,Applicant admitted to marijuana use without disclosure.,
24-01103.h1,Financial,Unpaid taxes,"Applicant failed to file taxes for multiple years, owes significant back taxes.",
24-01106.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and a history of financial mismanagement.,
24-01107.h1,Financial,Chronic delinquent debt,Applicant has significant unpaid federal and state taxes.,
24-01112.h1,Financial,Chronic delinquent debt,"Applicant failed to resolve delinquent debts, impacting security clearance.",
24-01113.h1,Criminal Conduct,Felony conviction,Applicant admitted to embezzlement and theft.,
24-01114.h1,Drugs,Use after submitting SF-86,Applicant admitted THC use after SF-86 submission but has mitigated concerns.,
24-01115.h1,Drugs,Pattern of recurring use,Applicant admitted to extensive drug use over many years.,
24-01118.h1,Foreign Influence,Close and continuing foreign contacts,"Applicant has family in Iraq, including government employees.",
24-01121.h1,Drugs,Failure to disclose use,Applicant falsified drug use on security clearance application.,
24-01122.h1,Criminal Conduct,Felony conviction,Applicant convicted of felony sexual exploitation of a minor.,
24-01127.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after being granted a security clearance.,
24-01129.h1,Financial,Unpaid taxes,Applicant failed to file required tax returns and has delinquent taxes.,
24-01134.h1,Personal Conduct,Omission of required information,Applicant had an extramarital affair not disclosed to his wife.,
24-01137.h1,Financial,Unpaid taxes,Applicant failed to file federal tax returns and has delinquent state taxes.,
24-01153.Revised.h1,Drugs,Use during clearance process,"Applicant used psilocybin while employed, impacting clearance.",
24-01162.h1,Drugs,Recent use within adjudicative window,Applicant admitted to recent marijuana and psilocybin use.,
24-01166.h1,Drugs,Recent use within adjudicative window,Applicant has a drug conviction from 2017.,
24-01167.h1,Personal Conduct,False statements on SF-86,Applicant admitted to falsifying information on security clearance applications.,
24-01168.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $34,000.",
24-01170.h1,Personal Conduct,False statements on SF-86,Applicant falsified DUI charges on security clearance application.,
24-01171.h1,Drugs,Failure to disclose use,Applicant admitted to past drug use but failed to disclose on SF-86.,
24-01173.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $69,000.",
24-01181.h1,Foreign Influence,Close and continuing foreign contacts,"Applicant has family ties in Iraq, raising foreign influence concerns.",
24-01185.h1,Financial,Unpaid taxes,Applicant had late tax filings but mitigated concerns.,
24-01187.h1,Financial,Unpaid taxes,"Applicant has a $31,861 federal tax lien.",
24-01208.h1,Financial,Failure to file required financial disclosures,Applicant failed to file tax returns for multiple years.,
24-01210.h1,Drugs,Use during clearance process,Applicant used THC while employed in a sensitive position.,
24-01218.h1,Drugs,Pattern of recurring use,Applicant has a long history of illegal drug use over 17 years.,
24-01222.h1,Financial,Unpaid taxes,Applicant has unpaid taxes and filed for bankruptcy.,
24-01225.h1,Drugs,Pattern of recurring use,Applicant had a history of illegal drug use but has shown intent to abstain.,
24-01230.h1,Financial,Chronic delinquent debt,Applicant has multiple charged-off debts and ongoing collection actions.,
24-01236.h1,Financial,Unpaid taxes,Applicant failed to file taxes for multiple years and has significant unpaid debts.,
24-01249.h1,Financial,Failure to file required financial disclosures,Applicant failed to timely file tax returns but has since resolved issues.,
24-01252.h1,Drugs,Failure to disclose use,Applicant falsely stated no illegal drug use on SF-86.,
24-01255.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $30,000.",
24-01257.h1,Financial,Chronic delinquent debt,"Applicant has two delinquent debts totaling $40,610.",
24-01258.h1,Drugs,Pattern of recurring use,Applicant admitted to multiple illegal drug uses over several years.,
24-01259.h1,Foreign Influence,Close and continuing foreign contacts,"Applicant has multiple family members in Kenya, raising foreign influence concerns.",
24-01264.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $30,000.",
24-01270.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has multiple DUI incidents and alcohol-related offenses.,
24-01279.h1,Drugs,Failure to disclose use,Applicant falsified drug use on security forms.,
24-01286.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent accounts totaling over $38,000.",
24-01288.h1,Criminal Conduct,Felony conviction,Applicant has a felony robbery conviction and multiple arrests.,
24-01289.h1,Drugs,Distribution or intent to distribute,Applicant sold ecstasy to an undercover officer.,
24-01297.h1,Personal Conduct,False statements on SF-86,Applicant made false disclosures in security clearance questionnaire.,
24-01302.h1,Personal Conduct,Pattern of dishonesty,Applicant engaged in dishonest conduct related to timekeeping.,
24-01304.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has multiple DWI convictions and admitted ongoing excessive alcohol use.,
24-01305.h1,Drugs,Use of federally illegal substances despite state legality,"Applicant used medical marijuana, which is illegal federally.",
24-01306.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling over $31,000.",
24-01307.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after submitting security clearance applications.,
24-01313.h1,Financial,Chronic delinquent debt,"Applicant has $54,000 in delinquent debt and no plans to resolve it.",
24-01316.h1,Drugs,Failure to disclose use,Applicant failed to disclose past drug use on multiple forms.,
24-01318.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling approximately $106,000.",
24-01320.h1,Drugs,Use after submitting SF-86,Applicant used marijuana and mushrooms after submitting clearance forms.,
24-01325.h1,Drugs,Pattern of recurring use,"Applicant admitted to long-term marijuana use, including while employed.",
24-01326.h1,Drugs,Pattern of recurring use,Applicant admitted to ongoing drug use despite prior assurances.,
24-01332.h1,Drugs,Recent use within adjudicative window,Applicant admitted to marijuana use during the adjudicative window.,
24-01359.h1,Personal Conduct,Failure to disclose required information,Applicant did not report extortion incident to security officer.; invalid_label,
24-01365.h1,Financial,Unpaid taxes,Applicant failed to file multiple tax returns and has delinquent tax debts.,
24-01367.h1,Drugs,Use after submitting SF-86,Applicant admitted past drug use but has shown intent to abstain.,
24-01389.h1,Drugs,Pattern of recurring use,Applicant has a long history of drug use and multiple arrests.,
24-01390.h1,Foreign Influence,Financial ties to foreign persons or entities,Applicant has significant financial support ties to family in Moldova and Ukraine.,
24-01392.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts exceeding $16,000.",
24-01400.h1,Drugs,Failure to disclose use,Applicant omitted past drug use and rehabilitation in e-QIP.,
24-01402.h1,Drugs,Pattern of recurring use,Applicant has a history of marijuana use from 2009 to 2023.,
24-01403.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and admitted to them.,
24-01410.h1,Personal Conduct,False statements on SF-86,Applicant falsified information on security clearance application.,
24-01412.h1,Drugs,Pattern of recurring use,Applicant admitted to frequent marijuana and inhalant use.,
24-01413.h1,Drugs,Recent use within adjudicative window,Applicant admitted ongoing marijuana use while holding a sensitive position.,
24-01417.h1,Drugs,Pattern of recurring use,Applicant has a history of using multiple illegal drugs over several years.,
24-01418.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $36,000.",
24-01421.h1,Drugs,Use after submitting SF-86,Applicant admitted to marijuana use after submitting her SCA.,
24-01425.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved delinquent debts.,
24-01429.h1,Financial,Chronic delinquent debt,"Applicant has six delinquent debts totaling $11,262.",
24-01457.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved delinquent debts totaling over $35,000.",
24-01458.h1,Financial,Chronic delinquent debt,"Applicant has over $35,000 in past-due debts and has not addressed them.",
24-01461.h1,Financial,Chronic delinquent debt,Applicant has multiple debts and failed to resolve them.,
24-01467.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
24-01471.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved delinquent debts totaling $46,411.",
24-01474.h1,Financial,Chronic delinquent debt,Applicant has multiple bankruptcies and unresolved debts.,
24-01515.h1,Drugs,Use after submitting SF-86,Applicant used marijuana briefly in 2023 after a long abstinence.,
24-01516.h1,Drugs,Pattern of recurring use,Applicant has a history of multiple illegal drug uses over several years.,
24-01523.h1,Financial,Chronic delinquent debt,Applicant admitted to significant credit card debt and failed to resolve it.,
24-01529.h1,Financial,Chronic delinquent debt,Applicant has a history of delinquent debts but is taking steps to resolve them.,
24-01532.h1,Financial,Chronic delinquent debt,Applicant has multiple bankruptcies and unresolved debts.,
24-01537.h1,Drugs,Use after submitting SF-86,Applicant admitted to marijuana use and intends to continue despite federal law.,
24-01542.h1,Personal Conduct,Prior employment misconduct,Applicant terminated for unprofessional behavior and misconduct.,
24-01543.h1,Drugs,Recent use within adjudicative window,Applicant used marijuana recently and has a history of illegal drug use.,
24-01544.h1,Financial,Chronic delinquent debt,"Applicant has significant past-due debts totaling about $24,000.",
24-01547.h1,Personal Conduct,False statements on SF-86,Applicant falsified security logs and admitted to backdating them.,
24-01549.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved delinquent accounts totaling over $73,000.",
24-01550.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after submitting security clearance application.,
24-01553.h1,Financial,Chronic delinquent debt,"Applicant has a charged-off debt of $31,559.",
24-01558.h1,Financial,Chronic delinquent debt,"Applicant has unresolved debts exceeding $38,000.",
24-01560.h1,Drugs,Use during clearance process,Applicant admitted marijuana use while holding a security clearance.,
24-01563.h1,Financial,Chronic delinquent debt,"Applicant has over $36,000 in unresolved delinquent debts.",
24-01566.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling about $95,877.",
24-01570.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts exceeding $15,000.",
24-01572.h1,Drugs,Recent use within adjudicative window,"Applicant used marijuana until December 2024, raising concerns.",
24-01576.h1,Drugs,Use after submitting SF-86,Applicant admitted THC use after submitting clearance application.,
24-01584.h1,Financial,Bankruptcy with aggravating factors,Applicant has filed multiple bankruptcies and has ongoing financial issues.,
24-01586.h1,Criminal Conduct,Failure to disclose prior charges,Applicant had issues with handling protected information.; level1_corrected,
24-01588.h1,Drugs,Failure to disclose use,Applicant admitted to marijuana use but did not disclose it on SF-86.,
24-01602.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after submitting her security clearance application.,
24-01603.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling about $48,000.",
24-01606.h1,Drugs,Pattern of recurring use,Applicant used multiple illegal substances over several years.,
24-01609.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and ongoing collection actions.,
24-01610.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and a history of financial issues.,
24-01612.h1,Drugs,Failure to disclose use,Applicant admitted to marijuana use and falsified SCA responses.,
24-01615.h1,Financial,Chronic delinquent debt,"Applicant has over $77,000 in unresolved delinquent debts.",
24-01618.h1,Financial,Chronic delinquent debt,Applicant has significant past-due debts primarily from former spouse.,
24-01632.h1,Financial,Unpaid taxes,Applicant failed to file federal and state income tax returns.,
24-01635.h1,Financial,Chronic delinquent debt,Applicant had significant debts due to divorce and acted to resolve them.,
24-01636.h1,Financial,Unpaid taxes,Applicant has multiple delinquent federal income tax debts.,
24-01638.h1,Drugs,Failure to disclose use,Applicant admitted to THC use and attempted urine sample adulteration.,
24-01639.h1,Financial,Unpaid taxes,Applicant has significant delinquent federal income taxes.,
24-01655.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling approximately $23,000.",
24-01659.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and ongoing repayment plans.,
24-01670.h1,Drugs,Recent use within adjudicative window,Applicant admitted to recent marijuana and psilocybin use.,
24-01671.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and failed to file tax returns.,
24-01685.h1,Drugs,Failure to disclose use,Applicant failed to disclose marijuana use on security clearance application.,
24-01706.h1,Drugs,Distribution or intent to distribute,"Applicant supports son's marijuana cultivation, violating federal law.",
24-01713.h1,Drugs,Failure to disclose use,Applicant admitted to marijuana use but failed to disclose it.,
24-01716.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling over $23,000.",
24-01718.h1,Drugs,Recent use within adjudicative window,Applicant used marijuana frequently until September 2024.,
24-01730.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $16,000.",
24-01734.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling $11,472.",
24-01746.h1,Drugs,Use after submitting SF-86,Applicant admitted past marijuana use and reported an unknowing incident.,
24-01749.h1,Drugs,Recent use within adjudicative window,Applicant has a history of opioid and benzodiazepine misuse.,
24-01767.h1,Financial,Unpaid taxes,"Applicant has delinquent federal and state taxes totaling over $15,000.",
24-01768.h1,Financial,Chronic delinquent debt,Applicant has multiple charged-off accounts and debts.,
24-01769.h1,Drugs,Use during clearance process,Applicant admitted to ongoing marijuana use despite federal illegality.,
24-01775.h1,Financial,Chronic delinquent debt,"Applicant has nine delinquent debts exceeding $45,000.",
24-01778.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling over $57,000.",
24-01780.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and filed for bankruptcy.,
24-01784.h1,Drugs,Recent use within adjudicative window,Applicant used marijuana during the clearance process.,
24-01787.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after clearance granted.,
24-01789.h1,Financial,Chronic delinquent debt,Applicant has multiple unpaid debts and a judgment against him.,
24-01801.h1,Drugs,Recent use within adjudicative window,Applicant admitted to recent marijuana use despite clearance process.,
24-01841.h1,Alcohol Consumption,Pattern of binge drinking,Applicant has a history of multiple DUIs and ongoing alcohol use concerns.,
24-01844.h1,Drugs,Pattern of recurring use,Applicant admitted to extensive illegal drug use and distribution.,
24-01854.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
24-01855.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance but has shown intent to abstain.,
24-01861.h1,Personal Conduct,False statements on SF-86,Applicant engaged in illegal sexual conduct and failed to disclose it.,
24-01866.h1,Drugs,Use during clearance process,Applicant admitted to using marijuana while holding a security clearance.,
24-01872 .h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $12,000.",
24-01894.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
24-01907.h1,Financial,Failure to file required financial disclosures,Applicant failed to timely file tax returns but has since resolved issues.,
24-01921.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has a history of DUI and ongoing alcohol consumption.,
24-01925.h1,Drugs,Pattern of recurring use,Applicant admitted to frequent marijuana use from 2012 to 2022.,
24-01933.h1,Financial,Chronic delinquent debt,Applicant has a history of delinquent debts but is resolving them.,
24-01935.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
24-01944.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling about $44,807.",
24-01948.h1,Financial,Chronic delinquent debt,"Applicant has 23 delinquent debts totaling $48,631.",
24-01956.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling about $31,000.",
24-01962.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has a history of DUI incidents and alcohol-related conduct.,
24-01967.h1,Personal Conduct,False statements on SF-86,Applicant failed to disclose DUI and drug use on security application.,
24-01971.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved delinquent accounts.,
24-01980.h1,Drugs,Use of federally illegal substances despite state legality,"Applicant invested in a THC-related business, violating federal law.",
24-01982.h1,Financial,Chronic delinquent debt,"Applicant has multiple unresolved debts totaling over $31,000.",
24-01985.h1,Financial,Chronic delinquent debt,Applicant has multiple delinquent debts and a history of bankruptcy.,
24-01994.h1,Financial,Chronic delinquent debt,"Applicant has significant delinquent debts totaling over $62,000.",
24-01996.h1,Financial,Chronic delinquent debt,Applicant has multiple debts and is enrolled in a debt relief program.,
24-02030.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling $49,549.",
24-02034.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after obtaining a security clearance.,
24-02035.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling about $23,000.",
24-02049.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts exceeding $25,000.",
24-02051.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent accounts totaling over $24,000.",
24-02052.h1,Financial,Unpaid taxes,Applicant has a tax lien and admitted failure to file taxes.,
24-02056.h1,Financial,Chronic delinquent debt,"Applicant has unresolved debts exceeding $68,000.",
24-02059.h1,Foreign Influence,Immediate family members who are foreign nationals,"Applicant has family members in India, raising foreign influence concerns.",
24-02064.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $89,000.",
24-02074.h1,Financial,Unpaid taxes,Applicant failed to file Federal income tax returns for 2023.,
24-02076.h1,Financial,Chronic delinquent debt,Applicant has multiple charged off debts and no mitigation evidence.,
24-02077.h1,Drugs,Use while holding a security clearance,Applicant used marijuana in July 2024 while holding a security clearance.; invalid_label,
24-02080.h1,Financial,Unpaid taxes,Applicant has significant unpaid taxes and delinquent debts.,
24-02085.h1,Personal Conduct,False statements on SF-86,Applicant falsified employment history and anger management referral.,
24-02094.h1,Financial,Bankruptcy with aggravating factors,Applicant filed for Chapter 13 bankruptcy amid ongoing financial issues.,
24-02098.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and a recent bankruptcy.,
24-02101.h1,Drugs,Use after submitting SF-86,Applicant used marijuana while holding a sensitive position.,
24-02104.h1,Financial,Unpaid taxes,Applicant failed to timely file federal income tax returns for multiple years.,
24-02106.h1,Drugs,Failure to disclose use,Applicant admitted to marijuana use and failed to disclose it on SF-86.,
24-02140.h1,Financial,Chronic delinquent debt,"Applicant has a charged-off credit card debt of $24,348.",
24-02143.h1,Drugs,Pattern of recurring use,Applicant used marijuana daily for over 10 years and other drugs.,
24-02155.h1,Drugs,Recent use within adjudicative window,Applicant used marijuana recently while holding a sensitive position.,
24-02156.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $24,000.",
24-02161.h1,Financial,Unpaid taxes,Applicant admitted to failing to pay federal and state taxes.,
24-02169.h1,Financial,Unpaid taxes,Applicant has delinquent federal tax debts for 2017 and 2019.,
24-02171.h1,Financial,Failure to file required financial disclosures,Applicant failed to file tax returns for multiple years.,
24-02172.h1,Financial,Failure to file required financial disclosures,Applicant failed to file multiple years of tax returns.,
24-02174.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling approximately $39,000.",
24-02180.h1,Financial,Chronic delinquent debt,Applicant has multiple past-due debts but is working on a repayment plan.,
24-02185.h1,Financial,Chronic delinquent debt,"Applicant admitted to significant delinquent debts totaling about $40,000.",
24-02188.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
24-02193.h1,Financial,Unpaid taxes,Applicant failed to file taxes on time and owes significant back taxes.,
24-02201.h1,Drugs,Pattern of recurring use,Applicant has a long history of marijuana use and intends to continue.,
24-02211.h1,Drugs,Use during clearance process,Applicant admitted to drug use while in a sensitive position.,
24-02214.h1,Criminal Conduct,Violent conduct,"Applicant threatened wife, admitted to violent comments, history of domestic violence.",
24-02227.h1,Drugs,Use during clearance process,Applicant used marijuana while employed in a sensitive position.,
24-02228.h1,Financial,Chronic delinquent debt,Applicant has multiple unpaid debts and ongoing collection actions.,
24-02229.h1,Drugs,Use during clearance process,Applicant used THC while holding a security clearance.,
24-02236.h1,Alcohol Consumption,Pattern of binge drinking,Applicant has extensive history of alcohol abuse and related criminal conduct.,
24-02238.h1,Drugs,Pattern of recurring use,Applicant admitted extensive drug use over many years.,
24-02245.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling $39,726.",
24-02254.h1,Drugs,Use while possessing a security clearance,Applicant admitted to marijuana use while holding a security clearance.; invalid_label,
24-02263.h1,Drugs,Recent use within adjudicative window,Applicant admitted to recent and frequent illegal drug use.,
24-02274.h1,Drugs,Use after submitting SF-86,Applicant admitted to marijuana use after submitting security clearance applications.,
24-02280.h1,Financial,Chronic delinquent debt,"Applicant has 10 delinquent accounts totaling about $62,940.",
24-02281.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after submitting security clearance application.,
24-02290.h1,Drugs,Use during clearance process,Applicant used marijuana while holding a security clearance.,
24-02293.h1,Financial,Chronic delinquent debt,Applicant has ongoing financial issues and admitted multiple debts.,
24-02298.h1,Drugs,Pattern of recurring use,Applicant admitted past drug use but has shown commitment to abstinence.,
24-02299.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent accounts totaling approximately $12,500.",
24-02300.h1,Drugs,Failure to disclose use,Applicant repeatedly failed to disclose marijuana use on applications.,
24-02307.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after applying for security clearance.,
24-02317.h1,Drugs,Use after submitting SF-86,Applicant used marijuana after submitting SCA.,
24-02323.h1,Drugs,Pattern of recurring use,Applicant admitted to long-term marijuana use and sales.,
24-02334.h1,Drugs,Use during clearance process,Applicant used marijuana while applying for security clearance.,
24-02340.h1,Financial,Chronic delinquent debt,"Applicant has significant past-due debts totaling over $65,000.",
24-02353.h1,Criminal Conduct,Felony conviction,Applicant has a history of arrests and a felony charge related to domestic violence.,
24-02364.h1,Drugs,Failure to disclose use,Applicant admitted past marijuana use but omitted it on SF-86.,
24-02377.h1,Criminal Conduct,Felony conviction,Applicant has multiple felony charges and a recent guilty plea.,
